"","file_name","number_of_clusers_with_p_less_than_0.05","lowest_p_value"
"75","perm_165_Summary.of.stats_Random.Group.Allocation.csv",18,0.00138048247558485
"76","perm_166_Summary.of.stats_Random.Group.Allocation.csv",23,1.41002739566335e-06
"77","perm_167_Summary.of.stats_Random.Group.Allocation.csv",26,0.000349325183259131
"78","perm_168_Summary.of.stats_Random.Group.Allocation.csv",25,0.00144680341095236
"79","perm_169_Summary.of.stats_Random.Group.Allocation.csv",25,0.000240481222248879
"80","perm_17_Summary.of.stats_Random.Group.Allocation.csv",28,0.000236067653977275
"81","perm_170_Summary.of.stats_Random.Group.Allocation.csv",14,0.000263330265523212
"82","perm_171_Summary.of.stats_Random.Group.Allocation.csv",16,0.000381507050039881
"83","perm_172_Summary.of.stats_Random.Group.Allocation.csv",28,0.000232241732262693
"84","perm_173_Summary.of.stats_Random.Group.Allocation.csv",31,8.8907400420011e-05
"85","perm_174_Summary.of.stats_Random.Group.Allocation.csv",19,0.00194613185938538
"86","perm_175_Summary.of.stats_Random.Group.Allocation.csv",23,5.19464597104718e-05
"87","perm_176_Summary.of.stats_Random.Group.Allocation.csv",25,0.000133251126471956
"88","perm_177_Summary.of.stats_Random.Group.Allocation.csv",30,6.60924171663416e-05
"89","perm_178_Summary.of.stats_Random.Group.Allocation.csv",17,0.000372986870605891
"90","perm_179_Summary.of.stats_Random.Group.Allocation.csv",21,0.00053598619954546
"91","perm_18_Summary.of.stats_Random.Group.Allocation.csv",11,0.00102202379011227
"92","perm_180_Summary.of.stats_Random.Group.Allocation.csv",28,1.44577914286504e-05
"93","perm_181_Summary.of.stats_Random.Group.Allocation.csv",23,0.000143884645600848
"94","perm_182_Summary.of.stats_Random.Group.Allocation.csv",18,0.000173637895137398
"95","perm_183_Summary.of.stats_Random.Group.Allocation.csv",26,0.000104633896462034
"96","perm_184_Summary.of.stats_Random.Group.Allocation.csv",15,0.000807878574288019
"97","perm_185_Summary.of.stats_Random.Group.Allocation.csv",17,0.00473527843374424
"98","perm_186_Summary.of.stats_Random.Group.Allocation.csv",27,8.57429170226311e-05
"99","perm_187_Summary.of.stats_Random.Group.Allocation.csv",30,0.0019659301009557
"100","perm_188_Summary.of.stats_Random.Group.Allocation.csv",17,0.00101940343535326
"101","perm_189_Summary.of.stats_Random.Group.Allocation.csv",21,3.39744818998475e-05
"102","perm_19_Summary.of.stats_Random.Group.Allocation.csv",26,0.000590394301925971
"103","perm_190_Summary.of.stats_Random.Group.Allocation.csv",25,0.000321474457921375
"104","perm_191_Summary.of.stats_Random.Group.Allocation.csv",31,0.000694619591373503
"105","perm_192_Summary.of.stats_Random.Group.Allocation.csv",17,0.00102778157211483
"106","perm_193_Summary.of.stats_Random.Group.Allocation.csv",19,0.000320360357971595
"107","perm_194_Summary.of.stats_Random.Group.Allocation.csv",12,0.0013749032123139
"108","perm_195_Summary.of.stats_Random.Group.Allocation.csv",27,0.00116577303549582
"109","perm_196_Summary.of.stats_Random.Group.Allocation.csv",24,8.57429170226311e-05
"110","perm_197_Summary.of.stats_Random.Group.Allocation.csv",25,9.55453058679944e-05
"111","perm_198_Summary.of.stats_Random.Group.Allocation.csv",17,0.000899032169137986
"112","perm_199_Summary.of.stats_Random.Group.Allocation.csv",28,4.97893731413481e-05
"113","perm_2_Summary.of.stats_Random.Group.Allocation.csv",26,0.000451556867793594
"114","perm_20_Summary.of.stats_Random.Group.Allocation.csv",28,4.48063099146105e-05
"115","perm_200_Summary.of.stats_Random.Group.Allocation.csv",31,5.30707503586143e-05
"116","perm_201_Summary.of.stats_Random.Group.Allocation.csv",19,0.00297552476239956
"117","perm_202_Summary.of.stats_Random.Group.Allocation.csv",13,0.00569288817698723
"118","perm_203_Summary.of.stats_Random.Group.Allocation.csv",14,0.00354210942091532
"119","perm_204_Summary.of.stats_Random.Group.Allocation.csv",22,0.00438883627692093
"120","perm_205_Summary.of.stats_Random.Group.Allocation.csv",25,1.46417126227117e-05
"121","perm_206_Summary.of.stats_Random.Group.Allocation.csv",30,4.09608562943328e-05
"122","perm_207_Summary.of.stats_Random.Group.Allocation.csv",21,7.26406214293113e-05
"123","perm_208_Summary.of.stats_Random.Group.Allocation.csv",24,0.000146178067237244
"124","perm_209_Summary.of.stats_Random.Group.Allocation.csv",21,6.40259381825372e-05
"125","perm_21_Summary.of.stats_Random.Group.Allocation.csv",23,3.21729256586751e-05
"126","perm_210_Summary.of.stats_Random.Group.Allocation.csv",15,0.000194451111324413
"127","perm_211_Summary.of.stats_Random.Group.Allocation.csv",30,0.000123265155331373
"128","perm_212_Summary.of.stats_Random.Group.Allocation.csv",24,1.71429988103734e-05
"129","perm_213_Summary.of.stats_Random.Group.Allocation.csv",24,0.000226863893474728
"130","perm_214_Summary.of.stats_Random.Group.Allocation.csv",16,0.000998788697926945
"131","perm_215_Summary.of.stats_Random.Group.Allocation.csv",22,0.000447224986714178
"132","perm_216_Summary.of.stats_Random.Group.Allocation.csv",27,0.000232241732262693
"133","perm_217_Summary.of.stats_Random.Group.Allocation.csv",27,0.00198266460921236
"134","perm_218_Summary.of.stats_Random.Group.Allocation.csv",29,1.63359904920799e-05
"135","perm_219_Summary.of.stats_Random.Group.Allocation.csv",24,0.00337019456671108
"136","perm_22_Summary.of.stats_Random.Group.Allocation.csv",20,0.00275495651738427
"137","perm_220_Summary.of.stats_Random.Group.Allocation.csv",27,0.000405579069552243
